Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery,Above_90
21014,France,"92-94. Barrel sample. Packed with dark tannins and spicy wood, the wine is rich, dark and very structured. It is powered as much by its tannins as its wood.",Barrel Sample,93,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château d'Armailhac,1
21015,France,"92-94. Barrel sample. A solid, chunky wine that feels powerful and dense. Its tannins overlay the ripe fruit, and the finish has a juicy character.",Barrel Sample,93,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Petit-Village,1
21016,France,"92-94. Barrel sample. A smooth, richly textured wine, with flavors of sweet orange and spice that combine with dark wood and pomegranate.",Barrel Sample,93,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Romer,1
21017,France,92-94. Barrel sample. Herbaceous aromas are followed by nutmeg and crisp fruit. This has the great ripe fruit of the year without the huge intensity; it's a wine that has subtlety as well as complexity.,Barrel Sample,93,,Bordeaux,Barsac,,Bordeaux-style White Blend,Château Doisy-Daëne,1
21018,France,"92-94. Barrel sample. This wine is based on tannins, yet it also has weight and a complex fruit structure. Its power lies in the density of its texture.",Barrel Sample,93,,Bordeaux,Saint-Julien,,Bordeaux-style Red Blend,Château Branaire-Ducru,1
21019,France,"92-94. Barrel sample. Mint and new wood aromas lead to a palate that has dark and concentrated tannins. The wine is bright and fresh, with juicy black-currant and plum flavors.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Troplong Mondot,1
21020,France,"92-94. Barrel sample. Made in an elegant style, this wine has richness without weight. It is stylish with some freshness, bearing black fruits and a perfumed finish.",Barrel Sample,93,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château la Fleur-Pétrus,1
21021,France,92-94. Barrel sample. This wine has both weight and a light touch. Its weight is driven by the powerful botrytis character and ripe apricot fruit; its lightness comes from a straight line of intense acidity that cuts through the wine. It should age a long time.,Barrel Sample,93,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Sigalas Rabaud,1
21022,France,"92-94. Barrel sample. A smooth, mellifluous wine, with its intensity masked by tight acidity. It shows the weight of the vintage, and the power of the botrytis that's interspersed with flavors of orange zest and lime. It should age magnificently.",Barrel Sample,93,,Bordeaux,Barsac,,Bordeaux-style White Blend,Château Coutet,1
21023,France,"92-94. Barrel sample. A big, fruity wine that manages to balance its ripe tropical-fruit flavors with notes of spice and grapefruit. It has weight and is still settling down. Concentrated and intense.",Barrel Sample,93,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château de Fieuzal,1
21024,France,"92-94. Barrel sample. A very firm and closed wine. It has intense tannins, with the fruit following slowly behind. The structure is impressive, while the black-currant flavors are still to show.",Barrel Sample,93,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château de Pez,1
21025,France,"92-94. Barrel sample. Packed with dense tannins and firm fruit, this is a big, powerful wine. It is initially austere, but with time it becomes more rounded, with layers of wood tannins and rich fruit.",Barrel Sample,93,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Haut-Bailly,1
21026,France,"92-94. Barrel sample. An impressive and powerful wine, with its tannins packed into rich flavors of bitter chocolate and black fruit.",Barrel Sample,93,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Hosanna,1
21027,France,"92-94. Barrel sample. Serious and structured, this is a concentrated dark-hued wine. It has all the acidity of the vintage while also showing firm tannins. A dry and powerful second wine.",Carruades de Lafite Barrel Sample,93,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Lafite Rothschild,1
21028,France,"92-94. Barrel sample. Very concentrated, this has dark tannins and dense fruits. It has power, intensity and the essence of black plum skin.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Larmande,1
21029,France,"92-94. Barrel sample. This wine is powered with acidity, dark tannins and smoky wood. Concentrated and dense, it has weight along with the delicious, juicy fruits.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Trottevieille,1
21060,France,"92-94. Barrel sample. An impressive wine that has weight and intense botrytis notes. Its acidity gives a delicious lift to its powerful flavors of yellow fruits, tangerines and light wood spices.",Barrel Sample,93,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château d'Arche,1
21061,France,"92-94. Barrel sample. While the wine does have firm tannins, these are layered with open, ripe fruits. There are blackberry flavors, and the wine shows good acidity and a firm finish.",Barrel Sample,93,,Bordeaux,Saint-Julien,,Bordeaux-style Red Blend,Château Gruaud Larose,1
21062,France,"92-94. Barrel sample. A herbaceous wine that has ripe yellow-fruit flavors. It is rich and fruity, and layered with grapefruit and sweet peach notes. It finishes tight, with minerality.",La Clarté de Haut-Brion Barrel Sample,93,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Haut-Brion,1
21128,France,"90-92. Barrel sample. Rich and ripe, the wine has delicious Cabernet flavors. It offers ripe and rounded fruits with juiciness rather than great density.",Barrel Sample,91,,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Coufran,1
21129,France,"90-92. Barrel sample. This is a light and fruity wine, with prominent wood. It has a crisp texture that's very bright, with some weight showing on the finish.",Barrel Sample,91,,Bordeaux,Graves,,Bordeaux-style White Blend,Château de Chantegrive,1
21130,France,"90-92. Barrel sample. Dense and concentrated; the tannins are a worthy partner to the firm flavors of black plum skin. This wine is solid and chunky, with the year's crisp fruit showing through.",Barrel Sample,91,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Le Boscq,1
21131,France,"90-92. Barrel sample. A complex, firm wine, with its tannins on the surface and fruit underneath; it will be a slow wine to develop.",Barrel Sample,91,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Monbrison,1
21132,France,"90-92. Barrel sample. This is a closed wine, dominated by dark, dry tannins and spice. The wine misses fruit with its solid core of dryness.",Barrel Sample,91,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Pape Clément,1
21133,France,"90-92. Barrel sample. Here is a ripe and juicy wine that pushes forward with delicious blackberry fruits. There is a tense edge of acidity that then brings out denser tannins, but juiciness characterizes this wine.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Pavie,1
21134,France,"90-92. Barrel sample. Big and serious, with a well-balanced wood and spice character. The tense tannins provide a nervy, tight counterpoint.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Fombrauge,1
21135,France,"90-92. Barrel sample. This wine is laden with tannins yet shows juicy, crisp red-berry flavors. It finishes with great structure.",Barrel Sample,91,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Latour à Pomerol,1
21136,France,"90-92. Barrel sample. This is a soft wine, with dominating fruit. It has flavors of black currant and spice, firm tannins and an attractive ripe center.",Les Tourelles de Longueville Barrel Sample,91,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Pichon Longueville,1
21137,France,"90-92. Barrel sample. A herbaceous, fruity wine, with its acidity well integrated into the ripe, bright fruits. The wine is light, fresh and crisp, with an attractive lemon-curd note.",Barrel Sample,91,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Picque Caillou,1
21138,France,"90-92. Barrel sample. Dense, with up-front tannins, this feels quite severe, with an austere, mineral character and a solid finish.",Barrel Sample,91,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Rauzan-Ségla,1
21139,France,90-92. Barrel sample. This is a wine that's likely to age relatively quickly. It shows sweet wood and black-currant flavors that combine with a spicy element.,Barrel Sample,91,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Carbonnieux,1
21140,France,"90-92. Barrel sample. Big and firm tannins are palpable from the start, with a ripe and fruity core underneath. It has concentration along with the typical juicy character of the vintage.",Barrel Sample,91,,Bordeaux,Moulis-en-Médoc,,Bordeaux-style Red Blend,Château Chasse-Spleen,1
21141,France,"90-92. Barrel sample. With all the freshness of the year, the wine is ripe and soft. It has acidity and juicy black currant fruits. The wine is spiced; well integrated with ripe tannins.",Les Pagodes de Cos Barrel Sample,91,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Cos d'Estournel,1
21142,France,"90-92. Barrel sample. With big sweet fruits from the Cabernet Sauvignon, this wine has weight, structure and the juicy charm of the year.",Barrel Sample,91,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Fonbadet,1
21143,France,"90-92. Barrel sample. Sweet new-wood flavors smooth this wine. It is rich and ripe, with juicy fruits surrounding the firm core of tannins.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Franc Mayne,1
21144,France,"90-92. Barrel sample. This wine shows a powerful new-wood character, with a ripe, rich and very smooth texture lying underneath.",Barrel Sample,91,,Bordeaux,Barsac,,Bordeaux-style White Blend,Château Broustet,1
21145,France,"90-92. Barrel sample. This is a big, ripe and fruity wine that's packed with flavors of spice and blackberry. It needs to age for its dry core of dense tannins to soften.",Barrel Sample,91,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château d'Arsac,1
21146,France,"90-92. Barrel sample. This is a big, ripe, fruity wine, filled with smoky wood, spice and black-currant acidity. It is rich and fruit filled.",Barrel Sample,91,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château de Fieuzal,1
21147,France,"90-92. Barrel sample. A powerhouse of dark tannins, this wine is black in color and dark in taste. It has bitter chocolate flavors, with notes of new wood and intense spice.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château la Couspaude,1
21148,France,"90-92. Barrel sample. Firm tannins, a wine with a solid structure, the weight packed tightly into its firm structure. Concentrated tannins are very present while still fruity.",Barrel Sample,91,,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Potensac,1
21149,France,"90-92. Barrel sample. The tannins show in this wine's very dry and firm core. There is minerality and a tight texture. Under the tannins, there is a juicy fruit layer with a black-currant character.",Barrel Sample,91,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Tronquoy-Lalande,1
21180,France,"90-92. Barrel sample. Firm and complex, this wine is smoothed by some new wood, but dominated by flavors of ripe black plum and berry. It has weight, its tannic core surrounded by a rich, soft texture.",Barrel Sample,91,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Ferrière,1
21181,France,"90-92. Barrel sample. With all the freshness of the year, this wine is ripe and soft. It has acidity and juicy black-currant flavor. The wine is spiced, with its ripe tannins well integrated.",Barrel Sample,91,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Haut-Marbuzet,1
21182,France,"90-92. Barrel sample. Powerful, ripe and dense with its tannins, spice and sweet fruit, this wine is juicy with blackberry notes and a dark, solid texture.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Le Carré,1
21183,France,"90-92. Barrel sample. Aromas of new wood mark this wine. On the palate, the tannins are gentle, with flavors of ripe black plum, nutmeg and milk chocolate.",Barrel Sample,91,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Beauregard,1
21184,France,"90-92. Barrel sample. A juicy and forward wine, with attractive spice and sweet tannins. It's soft and gentle on the palate.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Canon la Gaffelière,1
21185,France,"90-92. Barrel sample. Dense and concentrated, this is a massive wine that's packed with tannins.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château la Dominique,1
21186,France,"90-92. Barrel sample. While certainly powered by tannins, this wine does have a rich, fruity character as well. The finish brings juicy flavors that cut right through the tannins.",La Chapelle de la Mission Haut-Brion Barrel Sample,91,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château La Mission Haut-Brion,1
21187,France,"90-92. Barrel sample. This wine is very warm and rich. It shows spicy fruit with the weight and dark tannins to match. Opulent, juicy and ripe.",Le Petit Cheval Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Cheval Blanc,1
21188,France,90-92. Barrel sample. A dense wine that's full of black plums and firm tannins. It has weight at the front and juicy freshness on the finish.,Barrel Sample,91,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château d'Issan,1
21189,France,"90-92. Barrel sample. There are some reductive, meaty aromas on this barrel sample, but the palate still shows the fine potential of this wine. It has all the weight and richness of the vintage, with underlying crisp acidity.",Barrel Sample,91,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Filhot,1
21190,France,"90-92. Barrel sample. Ripe, rich and soft, this wine has open, juicy fruit and attractive red plum flavors; it already shows its fruity character.",Barrel Sample,91,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Giscours,1
21191,France,"90-92. Barrel sample.  This is a brooding, dark wine; its tannins are evident, with a complex series of dark, dense flavors. Its fruit is buried under all of its tannic scaffolding.",Barrel Sample,91,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Haut Bages Libéral,1
21192,France,"90-92. Barrel sample. This has some weight and richness, with chunky fruit and sweet tannins. This wine is concentrated and very firm.",Barrel Sample,91,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Bourgneuf,1
21193,France,"90-92. Barrel sample. A rounded rich wine, showing the juicy fruit of the year along with rich tannins. It is spicy, lively and impressive.",Barrel Sample,91,,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Citran,1
21194,France,"90-92. Barrel sample. This wine is powered by its perfumed Cabernet Franc character. It's rich, with a well-integrated structure.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château La Tour Figeac,1
21195,France,"90-92. Barrel sample. Initially, this wine shows spice and round fruit notes, followed by a tannic structure. The wine has weight, with a feeling of balanced wood and plenty of juicy flavors on the finish.",Barrel Sample,91,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Larrivet Haut-Brion,1
21196,France,"90-92. Barrel sample. This wine feels solid, with its tannins forming a base for the juicy red- and dark-berry flavors. It shows a dry side and a dense finish.",Barrel Sample,91,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Malescot Saint-Exupery,1
21197,France,"90-92. Barrel sample. Initially this seems soft, but with time the more powerful fruit character comes through. It has weight, with a dark chocolate and spice intensity.",La Dame de Montrose Barrel Sample,91,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Montrose,1
21198,France,"90-92. Barrel sample. Powerful tannins and a distinct, solid core distinguish this very dark wine, showing sweet fruit notes with a blackberry juice flavor. It's very fruity at the end.",Barrel Sample,91,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Nenin,1
21199,France,"90-92. Barrel sample. Powerful and concentrated, this is a wine with smoky flavors–very dark and intense. The fruit weight is well under the very firm and dry tannic character.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Villemaurine,1
21200,France,90-92. Barrel sample. This is an impressively rich wine that's packed with forward fruit and spice flavors. It has power and dark tannins while retaining a fine sense of style.,Barrel Sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Grand Corbin-Despagne,1
28936,US,"Though it's 92% Cabernet Sauvignon, this includes a splash of Merlot, Cabernet Franc and Malbec. The pretty, floral nose is all about rose petals and milk chocolate. It tightens up in the mouth and battens down with blueberry, blue plum, milk chocolate and a somewhat astringent finish. A streak of smoke and tar runs through the tannins.",,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Januik,0
39261,US,"A vineyard along the Silverado Trail in Napa, not far from the winery, Grande was planted in 1920 and is still farmed by the original farmer's family, Dorothy and Tony Rossi. Here, it offers structure and elegance despite a brooding weight and power, the flavors leaning toward blackberry and licorice.",Grande Vineyard,94,50.0,California,Napa Valley,Napa,Zinfandel,Robert Biale,1
39561,US,"From a vineyard planted in 1924 in the northern reaches of the Napa Valley, Falleri is a tiny-production wine that's soft, supple and generously juicy and fruity. Boysenberry, blackberry and a trace of crisp red fruit combine around a core of earth, dotted by a floral bouquet. The finish is long and leathery.",Falleri Vineyard,93,62.0,California,Calistoga,Napa,Zinfandel,Robert Biale,1
40132,US,"Smelling like a pastry shop, the wine offers red currant and warm brioche scents that recall raspberry tarts and freshly baked breads. It's made by cousins Dan and Christian Tudor, whose family has made wines for thousands of years in Croatia, and grown table grapes since the 1920s in California. The body is fairly light, delivering tart raspberry  flavors; decent acid makes the mouth water.",Hook Vineyard,90,75.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Tudor Wines,0
40203,US,"Smelling like a pastry shop, the wine offers red currant and warm brioche scents that recall raspberry tarts and freshly baked breads. It's made by cousins Dan and Christian Tudor, whose family has made wines for thousands of years in Croatia, and grown table grapes since the 1920s in California. The body is fairly light, delivering tart raspberry  flavors; decent acid makes the mouth water.",Hook Vineyard,90,75.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Tudor Wines,0
42659,US,"No grape seems too obscure for Kenneth Volk, not even the Portuguese varietal Verdelho. Only 92 acres are planted in all of California, including the ones Volk himself planted in Paso Robles in 1994. Aromas of red apple and pear slowly draw you in, not spilling all the goods on the nose. The flavors are relatively slight on the tongue, with nectarine, honeyed nuts and baked apple. The tight acidity makes it a great pairing for Thai and Vietnamese dishes.",Pomar Junction Vineyard,89,24.0,California,Paso Robles,Central Coast,Verdelho,Kenneth Volk,0
46070,Italy,"Traluna—92% Sangiovese and 8% Alicante—shows determined and lingering tones of cherry, wild berry and fresh plum. This youthful wine offers a fresh, perky quality of fruit with the natural crispness to match.",Traluna,87,,Tuscany,Toscana,,Sangiovese,Tenuta Villa Trasqua,0
47078,Australia,"Full bodied and concentrated without being overly heavy or tannic, this is a stunning blend of Shiraz (92%) and Viognier (8%). Hints of roasted or grilled meat and black olive balance the bold blackberry fruit, leaving behind a lingering finish of warmth and dusty cocoa. Drink now–2020.",Descendant,94,105.0,South Australia,Barossa Valley,,Shiraz-Viognier,Torbreck,1
